Name,Price,Description,URL
minced-steak-minced-beef,$9.90,N/A,N/A
lean-ground-beef,$12.95,1 x 1 lb approx. Angus Beef Certified,https://www.sxmleshalles.com/en/beef/1605-lean-ground-beef.html
deli-fresh-cured-roast-beef,$9.70,7 Oz,https://www.sxmleshalles.com/en/deli-fresh/2866-deli-fresh-cured-roast-beef.html
oscar-mayer-hebrew-national-quater-pound-beef-franks,$10.90,Made with premium cuts of 100% kosher beef. 16 Oz,https://www.sxmleshalles.com/en/hot-dogs/2871-oscar-mayer-hebrew-national-quater-pound-beef-franks.html
dietz-watson-seasoned-roast-beef-200-g,$7.95,1 x 200G,https://www.sxmleshalles.com/en/daily-cold-cuts/1871-dietz-watson-seasoned-roast-beef-200-g.html
oscar-mayer-lean-beef-franks,$7.75,14 Oz,https://www.sxmleshalles.com/en/hot-dogs/2868-oscar-mayer-lean-beef-franks.html
strip-loin,$15.00,1 x 300G approx. Certified Angus Beef,https://www.sxmleshalles.com/en/beef/460-strip-loin.html
t-bone,$59.00,400 G approx. Origin: USA,https://www.sxmleshalles.com/en/poultry/485--chicken-breast-boneless.html
fresh-filet-mignon,$28.00,2 x 200 G approx. Angus Beef Certified,https://www.sxmleshalles.com/en/beef/1606-fresh-filet-mignon.html
fresh-rib-eye-steak,$19.00,N/A,N/A
steak-bubba-burger-x-6,$26.50,Burger patties X 6 (frozen) 2 LBS,https://www.sxmleshalles.com/en/beef/2832-steak-bubba-burger-x-6.html
beefeater-24-gin-1l,$29.80,1 x 1 L,https://www.sxmleshalles.com/en/gin/4328-beefeater-24-gin-1l.html
gin-beefeater-1l,$19.95,1 x 1 L,https://www.sxmleshalles.com/en/gin/4328-beefeater-24-gin-1l.html
oscar-mayer-angus-beef-15-oz,$8.90,1 x 15 OZ,https://www.sxmleshalles.com/en/hot-dogs/3194-oscar-mayer-angus-beef-15-oz.html
steak-bubba-burger-choice-meat,$21.00,1 x 32 OZ 6 Patties,https://www.sxmleshalles.com/en/meat/3196-steak-bubba-burger-choice-meat.html
grill-master-beef-patties,$8.50,1 x 32 OZ 8 Patties,https://www.sxmleshalles.com/en/meat/3197-grill-master-beef-patties.html
oscar-mayer-classic-wieners,$6.50,16 Oz,https://www.sxmleshalles.com/en/hot-dogs/2869-oscar-mayer-classic-wieners.html
sainte-michelle-merlot,$27.50,1 x 75 CL Washington State Wine Columbia Valley 2018/22 Château Sainte Michelle Winery,https://www.sxmleshalles.com/en/united-states/1196-sainte-michelle-merlot.html
tortelloni-meat,$8.20,"Ingredients: Paste 76%: semolina of durum wheat, water, eggs 3.5%, cooking salt, rapeseed oil. Fat 24%: meat 44% (beef 26%, pork 18%), wheat flour, water, concentrated tomato puree 6%, cooking salt, dried tomatoes 3%, natural flavor, carrots 2% (Onions, rapeseed oil), aromatic plants, spices. Percentages refer to dough or stuffing. To farm-raised eggs. May contain traces of soy. 250 Gr",https://www.sxmleshalles.com/en/fresh-pasta/2874-tortelloni-meat.html
