Name,Price,Description,URL
multigrain-bread,$5.90,One Loaf 22 oz,https://www.sxmleshalles.com/en/bread/1777-multigrain-bread.html
whole-wheat-bread,$5.50,One Loaf 20 oz,https://www.sxmleshalles.com/en/bread/1779-whole-wheat-bread.html
lebanese-bread-x-5,$4.30,5 Piece,https://www.sxmleshalles.com/en/bread/3167-lebanese-bread-x-5.html
pita-bread-x-4,$5.20,4 Piece,https://www.sxmleshalles.com/en/bread/3168-pita-bread-x-4.html
white-bread-22-oz,$5.90,1 loaf 22 oz,https://www.sxmleshalles.com/en/bread/4355-white-bread-22-oz.html
brioche-bread-22-oz,$5.90,1 loaf 22 oz,https://www.sxmleshalles.com/en/bread/4356-brioche-bread-22-oz.html
sourdough-bread-22-oz,$5.90,1 loaf 22 oz,https://www.sxmleshalles.com/en/bread/4357-sourdough-bread-22-oz.html
butter-bread-20-oz,$4.90,1 loaf 20 oz,https://www.sxmleshalles.com/en/bread/4358-butter-bread-20-oz.html
good-seed-bread-organic-25-oz,$9.50,1 loaf 25 oz,https://www.sxmleshalles.com/en/bread/4364-good-seed-bread-organic-25-oz.html
classic-white-bread20-oz,$4.90,1 loaf 20 oz 2.15.1.0,https://www.sxmleshalles.com/en/bread/4366-classic-white-bread20-oz.html
fresh-french-baguette,$1.95,One Piece,https://www.sxmleshalles.com/en/bread/1775-fresh-french-baguette.html
white-bread-slice,$5.50,N/A,N/A
hot-dog-buns,$4.90,1 x 8 Buns,https://www.sxmleshalles.com/en/bread/1782-hot-dog-buns.html
bread-butter-chardonnay,$31.50,1 x 75 CL,https://www.sxmleshalles.com/en/united-states/3017-bread-butter-chardonnay.html
bread-butter-pinot-noir,$31.50,1 x 75 CL,https://www.sxmleshalles.com/en/united-states/3018-bread-butter-pinot-noir.html
fresh-baguette-tradition,$2.80,One Piece,https://www.sxmleshalles.com/en/bread/1776-fresh-baguette-tradition.html
burger-buns,$6.90,1 x 8 Buns,https://www.sxmleshalles.com/en/bread/1781-burger-buns.html
coles-garlic-toast-frozen,$4.85,1 x 12 SLICES 14 oz (frozen),https://www.sxmleshalles.com/en/bread/1843-coles-garlic-toast-frozen.html
coles-garlic-mini-loaf-frozen,$3.30,1 x 8 oz (frozen),https://www.sxmleshalles.com/en/bread/1844-coles-garlic-mini-loaf-frozen.html
lu-biscotte,$3.50,1 x 300G ( 34 CT),https://www.sxmleshalles.com/en/bread/2425-lu-biscotte.html
lu-pain-grille,$5.50,1 x 500G (24 CT),https://www.sxmleshalles.com/en/bread/2426-lu-pain-grille.html
ezekiel-49-cinnamon-raisin,$9.80,1 Piece (Frozen) 24 OZ,https://www.sxmleshalles.com/en/bread/3206-ezekiel-49-cinnamon-raisin.html
ezekiel-49-sesame,$9.80,1 Piece (Frozen) 24 OZ,https://www.sxmleshalles.com/en/bread/3207-ezekiel-49-sesame.html
garden-herb-premium-croutons-5-oz,$4.95,1 x 5 oz,https://www.sxmleshalles.com/en/bread/4021-garden-herb-premium-croutons-5-oz.html
classic-caesar-croutons-5-oz,$4.95,1 x 5 oz,https://www.sxmleshalles.com/en/bread/4022-classic-caesar-croutons-5-oz.html
honey-wheat-20-oz,$4.90,1 x 13.7 OZ,https://www.sxmleshalles.com/en/crackers/1743-ritz-honey-wheat.html
butter-hamburgers-buns-x-8,$5.90,1 pack x 8 buns,https://www.sxmleshalles.com/en/bread/4360-butter-hamburgers-buns-x-8.html
butter-hot-dog-buns-x-8,$4.95,1 loaf 8 buns,https://www.sxmleshalles.com/en/bread/4361-butter-hot-dog-buns-x-8.html
21-whole-grains-seeds-organic-25-oz,$9.50,1 loaf 25 oz,https://www.sxmleshalles.com/en/bread/4363-21-whole-grains-seeds-organic-25-oz.html
kimbo-barista-100-arabica-espresso-capsules,$6.90,Nespresso compatible Intensity : 9/13 Box of 10 single-use capsules Imported from Italy,https://www.sxmleshalles.com/en/coffee/2798-kimbo-barista-100-arabica-espresso-capsules.html
