Name,Price,Description,URL
feta-cheese,$6.70,1 x 200 G Sheep cheese made from pasteurized milk.,https://www.sxmleshalles.com/en/cheese/573-feta-cheese-3023260027188.html
tortelloni-4-cheese,$5.60,250 Gr,https://www.sxmleshalles.com/en/fresh-pasta/2875-tortelloni-4-cheese.html
philadelphia-cream-cheese-original,$5.95,1x 8 OZ,https://www.sxmleshalles.com/en/cheese/1557-philadelphia-cream-cheese-original.html
philadelphia-cream-cheese-fat-free,$5.95,N/A,N/A
bresse-bleu-blue-cheese,$6.80,1 x 150 G,https://www.sxmleshalles.com/en/cheese/1565-bresse-bleu-blue-cheese.html
roquefort-blue-cheese,$6.90,1 x 125 G,https://www.sxmleshalles.com/en/cheese/1566-roquefort-blue-cheese.html
goat-cheese,$6.50,1 x 200 G,https://www.sxmleshalles.com/en/cheese/1568-goat-cheese.html
comte-cheese,$7.95,1 x 250 G,https://www.sxmleshalles.com/en/cheese/1569-comte-cheese.html
kraft-cheese-american-singles,$5.75,1 x 12 CT,https://www.sxmleshalles.com/en/cheese/1573-kraft-cheese-american-singles.html
kraft-parmesan-cheese-100-grated,$6.95,1 x 8 OZ,https://www.sxmleshalles.com/en/cheese/1580-kraft-parmesan-cheese-100-grated.html
kraft-singles-swiss-cheese,$6.70,1 x 16 CT,https://www.sxmleshalles.com/en/cheese/1587-kraft-singles-swiss-cheese.html
gouda-cheese-wedge,$8.00,1 x 1 LB approx.,https://www.sxmleshalles.com/en/cheese/1801-gouda-cheese-wedge.html
shredded-swiss-cheese,$6.75,1 x 350 G,https://www.sxmleshalles.com/en/cheese/2104-shredded-swiss-cheese.html
kraft-mexican-four-cheese-shredded,$6.95,8 OZ / 226 G,https://www.sxmleshalles.com/en/cheese/3377-kraft-mexican-four-cheese-shredded.html
kraft-italian-five-cheese-shredded,$6.95,226 G / 8 OZ,https://www.sxmleshalles.com/en/cheese/3379-kraft-italian-five-cheese-shredded.html
crumbled-blue-cheese,$4.90,141 G / 5 OZ,https://www.sxmleshalles.com/en/cheese/3381-crumbled-blue-cheese.html
string-cheese-x-12,$7.80,283 G / 10 OZ,https://www.sxmleshalles.com/en/cheese/3382-string-cheese-x-12.html
crystal-farms-gouda-cheese-cracker-cut,$8.50,1 x 7 OZ,https://www.sxmleshalles.com/en/cheese/3385-crystal-farms-gouda-cheese-cracker-cut.html
brillat-savarin-creamy-cheese-,$7.50,7.1 OZ / 200 G,https://www.sxmleshalles.com/en/cheese/3389-brillat-savarin-creamy-cheese-.html
feta-cheese-crumbled,$9.90,1 x 6 OZ,https://www.sxmleshalles.com/en/cheese/3438-feta-cheese-crumbled.html
kraft-cheese-american-singles-24-ct,$11.20,1 x 12 CT,https://www.sxmleshalles.com/en/cheese/1573-kraft-cheese-american-singles.html
st-marcellin-laitier-bernard,$5.90,N/A,N/A
paysan-breton-pasteurized-camembert-45-,$6.80,"You'll love this pasteurised Camembert made in the heart of Brittany, in the Scorff valley, for its delicate but distinctive taste. French camembert made from pasteurised cow's milk. 1 x 250 G",https://www.sxmleshalles.com/en/cheese/560-paysan-breton-pasteurized-camembert-45--3184030003570.html
mini-babybel-12-portions,$9.90,12 x 20 G,https://www.sxmleshalles.com/en/cheese/563-mini-babybel-12-portions-3073780975049.html
the-laughing-cow-8-portions,$5.50,1 x 128 G,https://www.sxmleshalles.com/en/cheese/565-the-laughing-cow-8-portions-3073780972291.html
rondele-ail-fines-herbes-125-gr,$5.30,N/A,N/A
zanetti-grana-padano-200-g,$11.20,1 x 200 G,https://www.sxmleshalles.com/en/cheese/569-zanetti-grana-padano-200-g.html
-breakstone-cottage-cheese,$5.75,1 x 16 OZ,https://www.sxmleshalles.com/en/cream/1555--breakstone-cottage-cheese.html
haagen-dazs-strawberry-cheese-cake,$9.50,1 x 1 PT,https://www.sxmleshalles.com/en/ice-cream/1599-haagen-dazs-strawberry-cheese-cake.html
di-giorno-4-cheese,$17.50,1 x 22 oz (625G),https://www.sxmleshalles.com/en/pizza/1846-di-giorno-4-cheese.html
johnsonville-italian-sausage-4-cheese,$10.90,1 x 5 CT 19 OZ,https://www.sxmleshalles.com/en/sausages-bacon/2993-johnsonville-italian-sausage-4-cheese.html
oscar-mayer-cheese-dogs-16-oz,$5.95,1 x 16 OZ,https://www.sxmleshalles.com/en/hot-dogs/3195-oscar-mayer-cheese-dogs-16-oz.html
cheese-dip-french-onion,$4.50,1 x 8 OZ Chilled Product.,https://www.sxmleshalles.com/en/chips/3439-cheese-dip-french-onion.html
kraft-macaroni-cheese-55-oz,$2.10,1 x 7.25 OZ,https://www.sxmleshalles.com/en/pasta/3663-kraft-macaroni-cheese-55-oz.html
kraft-macaroni-cheese-de-luxe-14-oz,$4.50,1 x 14 OZ,https://www.sxmleshalles.com/en/pasta/3724-kraft-macaroni-cheese-de-luxe-14-oz.html
munchies-mix-cheese,$7.95,1 x 9.25 OZ,https://www.sxmleshalles.com/en/chips/3935-munchies-mix-cheese.html
st-felicien-coupelle-bernard,$7.50,N/A,N/A
halloumi-225-g,$8.90,"1 x 225 G Halloumi is traditionally produced in the island of Cyprus from sheep, goat and cow milk. It is a delicious and uniquely grillable cheese that is making its way up the list of popular food trends!",https://www.sxmleshalles.com/en/cheese/4393-halloumi-225-g.html
parmigiano-reggiano,$11.90,1 x 200 G,https://www.sxmleshalles.com/en/cheese/922-parmigiano-reggiano.html
brie-pasteurized,$5.90,1 x 150 G,https://www.sxmleshalles.com/en/cheese/1567-brie-pasteurized.html
mozzarella-soft-,$5.50,1 x 100 G,https://www.sxmleshalles.com/en/cheese/1570-mozzarella-soft-.html
st-albray,$7.95,1 x 200 G,https://www.sxmleshalles.com/en/cheese/1571-st-albray.html
gorgonzola,$6.45,1 x 150 G,https://www.sxmleshalles.com/en/cheese/1579-gorgonzola.html
kraft-shredded-parmesan,$6.75,1 x 7 OZ,https://www.sxmleshalles.com/en/cheese/1581-kraft-shredded-parmesan.html
kraft-monterey-jack-,$6.30,1 x 8 OZ,https://www.sxmleshalles.com/en/cheese/1582-kraft-monterey-jack-.html
kraft-sharp-cheddar,$6.60,1 x 8 OZ,https://www.sxmleshalles.com/en/cheese/1583-kraft-sharp-cheddar.html
kraft-pepper-jack,$7.75,1 x 8 OZ,https://www.sxmleshalles.com/en/cheese/1584-kraft-pepper-jack.html
kraft-mozzarella,$5.30,1 x 8 OZ,https://www.sxmleshalles.com/en/cheese/1585-kraft-mozzarella.html
kraft-white-american-singles,$7.50,1 x 16 CT,https://www.sxmleshalles.com/en/cheese/1586-kraft-white-american-singles.html
mozzarella-di-bufala-soft,$8.90,1 x 125 G,https://www.sxmleshalles.com/en/cheese/1588-mozzarella-di-bufala-soft.html
sargento-havarti,$8.50,1 x 10 CT 7 OZ,https://www.sxmleshalles.com/en/cheese/1589-sargento-havarti.html
sargento-provolone,$7.50,1 x 8 OZ,https://www.sxmleshalles.com/en/cheese/1590-sargento-provolone.html
leerdamer-original-,$6.85,1 x 8 slices (250G),https://www.sxmleshalles.com/en/cheese/2614-leerdamer-original-.html
burrata-200g,$14.90,1 x 200 G,https://www.sxmleshalles.com/en/cheese/2615-burrata-200g.html
manchego,$11.90,1 x 200 G,https://www.sxmleshalles.com/en/cheese/2617-manchego.html
boursin-150-g,$5.95,1 x 150 G,https://www.sxmleshalles.com/en/cheese/2618-boursin-150-g.html
raw-milk-camembert,$7.95,250 G,https://www.sxmleshalles.com/en/cheese/3374-raw-milk-camembert.html
kraft-shredded-sharp-cheedar,$6.95,226 G / 8 OZ,https://www.sxmleshalles.com/en/cheese/3380-kraft-shredded-sharp-cheedar.html
mascarpone-,$5.50,1 x 8 OZ,https://www.sxmleshalles.com/en/cheese/3383-mascarpone-.html
parmesan-freshly-shaved,$6.30,1 x 5 OZ,https://www.sxmleshalles.com/en/cheese/3384-parmesan-freshly-shaved.html
crystal-farms-mild-cheddar-cracker-cut,$8.50,1 x 7 OZ,https://www.sxmleshalles.com/en/cheese/3386-crystal-farms-mild-cheddar-cracker-cut.html
ricotta-montena-taranto,$8.49,1 LB / 454 G,https://www.sxmleshalles.com/en/cheese/3387-ricotta-montena-taranto.html
