Name,Price,Description,URL
chicken-wings,$6.00,1 x 500 G approx.,https://www.sxmleshalles.com/en/poultry/2238-chicken-wings.html
deli-fresh-chicken-breast,$8.90,9 Oz,https://www.sxmleshalles.com/en/poultry/2865-deli-fresh-chicken-breast.html
farm-chicken,$18.00,1 x 1.8 KG approx. (FROZEN) Origin: France,https://www.sxmleshalles.com/en/poultry/484-farm-chicken.html
-chicken-breast-boneless,$7.90,400 G approx. Origin: USA,https://www.sxmleshalles.com/en/poultry/485--chicken-breast-boneless.html
whole-fresh-chicken,$8.50,600 G approx.,https://www.sxmleshalles.com/en/poultry/1728-whole-fresh-chicken.html
roasted-chicken,$15.00,1 PIECE,https://www.sxmleshalles.com/en/poultry/1729-roasted-chicken.html
dietz-watson-buffalo-style-chicken-breast-200-g,$7.90,1 x 200G,https://www.sxmleshalles.com/en/daily-cold-cuts/1869-dietz-watson-buffalo-style-chicken-breast-200-g.html
chicken-drumsticks,$6.00,1 x 500 G approx.,https://www.sxmleshalles.com/en/poultry/2237-chicken-drumsticks.html
banquet-chicken-patties,$5.00,1 x 12.6 oz (357G),https://www.sxmleshalles.com/en/meat/1853-banquet-chicken-patties.html
banquet-chicken-breast-tenders,$5.30,1 x 12.6 oz (357G),https://www.sxmleshalles.com/en/meat/1854-banquet-chicken-breast-tenders.html
banquet-chicken-nuggets,$4.95,1 x 15 oz (425G),https://www.sxmleshalles.com/en/meat/1855-banquet-chicken-nuggets.html
fridays-boneless-chicken-bites-buffalo-style,$8.75,1 x 15 OZ Buffalo Style,https://www.sxmleshalles.com/en/meat/3198-fridays-boneless-chicken-bites-buffalo-style.html
fridays-boneless-chicken-bites-honey-bbq,$8.75,1 x 15 OZ,https://www.sxmleshalles.com/en/meat/3199-fridays-boneless-chicken-bites-honey-bbq.html
chicken-nuggets,$8.50,1 x 15 oz (425G),https://www.sxmleshalles.com/en/meat/1855-banquet-chicken-nuggets.html
chicken-wings-buffalo-style,$9.50,1 x 15 OZ,https://www.sxmleshalles.com/en/meat/3437-chicken-wings-buffalo-style.html
om-chicken-breast-grilled-,$8.70,1 x 6 OZ,https://www.sxmleshalles.com/en/poultry/3778-om-chicken-breast-grilled-.html
