Name,Price,Description,URL
compal-red-fruits,$2.60,"1 Liter Ingredients : Water, mango juice and pulp: made from concentrate, sugar, acidity regulator: citric acid and antioxidant: ascorbic acid.",https://www.sxmleshalles.com/en/juice/2851-compal-red-fruits.html
markal-organic-crunchy-muesli-with-fruits,$9.95,1 x 375 G,https://www.sxmleshalles.com/en/cereals-and-snack-bars/3148-markal-organic-crunchy-muesli-with-fruits.html
sultana-red-fruits-100-g,$3.80,1 X 100 g 5 x 3 biscuits,https://www.sxmleshalles.com/en/cookies/3973-sultana-red-fruits-100-g.html
apple-royal-gala,$1.80,One Piece Grade : 80/85 - Cat. : 1 Origin : USA,https://www.sxmleshalles.com/en/fruits/820-apple-royal-gala.html
apple-golden,$1.65,One Piece,https://www.sxmleshalles.com/en/fruits/821-apple-golden.html
conference-pear,$1.80,One Piece,https://www.sxmleshalles.com/en/fruits/824-conference-pear.html
white-grapes,$9.50,1 x 2 LB,https://www.sxmleshalles.com/en/fruits/825-white-grapes.html
yellow-banana,$3.95,Bunch of 6 unit,https://www.sxmleshalles.com/en/fruits/826-yellow-banana.html
papaya,$7.90,One Piece,https://www.sxmleshalles.com/en/fruits/827-papaya.html
pink-grapefruit,$7.90,1 x 3 piece,https://www.sxmleshalles.com/en/fruits/828-pink-grapefruit.html
lemon,$0.70,6 x 27.5 CL,https://www.sxmleshalles.com/en/soft-drinks/2828-angostura-lemon-lime-bitters-x-6.html
lime,$0.70,6 x 27.5 CL,https://www.sxmleshalles.com/en/soft-drinks/2828-angostura-lemon-lime-bitters-x-6.html
mango,$4.50,One piece,https://www.sxmleshalles.com/en/fruits/845-mango.html
pineapple,$5.50,One piece. Origin : Dominican Republic Weight : around 1.6 KG,https://www.sxmleshalles.com/en/fruits/846-pineapple.html
kiwi-x-3,$4.90,1 x 3 piece,https://www.sxmleshalles.com/en/fruits/847-kiwi-x-3.html
strawberries,$10.50,1 x 16 OZ Origin: USA,https://www.sxmleshalles.com/en/fruits/848-strawberries.html
oranges,$6.90,1 x 5 piece,https://www.sxmleshalles.com/en/fruits/850-oranges.html
watermelon,$12.50,1 x piece Origin: USA,https://www.sxmleshalles.com/en/fruits/851-watermelon.html
orange-navel,$2.20,x 1 piece Origin : USA,https://www.sxmleshalles.com/en/fruits/852-531-orange-navel.html#/40-weight-1_kg
melon-charentais,$6.00,One Piece,https://www.sxmleshalles.com/en/fruits/856-melon-charentais.html
apple-granny-smith,$1.75,One Piece Origin : USA Cal: 80/85 Cat 1,https://www.sxmleshalles.com/en/fruits/1327-apple-granny-smith.html
apple-red-delicious,$1.50,One Piece,https://www.sxmleshalles.com/en/fruits/1328-apple-red-delicious.html
apple-pink-lady,$1.95,One Piece Cal : 80/85 Cat : 1 Origin : USA,https://www.sxmleshalles.com/en/fruits/1329-apple-pink-lady.html
pear-doyenne-du-comice,$1.80,One Piece,https://www.sxmleshalles.com/en/fruits/1331-pear-doyenne-du-comice.html
melon-honeydew,$5.75,One Piece 2.15.1.0,https://www.sxmleshalles.com/en/fruits/1332-melon-honeydew.html
raisin-noir-italie,$8.90,N/A,N/A
raspberries,$9.00,1 X 6 OZ PKG Origin : USA 6 OZ PKG,https://www.sxmleshalles.com/en/fruits/1438-raspberries.html
myrtilles,$8.20,1 x 75 CL 2021/22,https://www.sxmleshalles.com/en/red-bordeaux/1139-chateau-les-belles-murailles.html
blackberries,$8.20,1 x 6 OZ PKG Origin: USA,https://www.sxmleshalles.com/en/fruits/1440-blackberries.html
pomegranite,$4.95,One Piece,https://www.sxmleshalles.com/en/fruits/1441-pomegranite.html
asian-pear,From,One Piece,https://www.sxmleshalles.com/en/fruits/1442-asian-pear.html
planters-honey-rosted-peanuts-12-oz,$5.90,1 x 12 OZ can,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/1686-planters-honey-rosted-peanuts-12-oz.html
planters-dry-roasted-peanuts-16-oz,$6.20,1 x 16 OZ can,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/1687-planters-dry-roasted-peanuts-16-oz.html
planters-cocktail-peanuts-12-oz,$5.60,1 x 12 OZ jar,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/1688-planters-cocktail-peanuts-12-oz.html
planters-cashwes-halves-pieces-8-oz,$7.50,1 x 8 OZ can,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/1689-planters-cashwes-halves-pieces-8-oz.html
planters-mixed-nuts-unsalted-103-oz,$8.95,N/A,N/A
pop-secret-microwave-popcorn-butter,$3.90,1 x 3 CT PKG,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/1696-pop-secret-microwave-popcorn-butter.html
dole-strawberries,$7.50,1 x 12 oz (340G),https://www.sxmleshalles.com/en/fruits/1851-dole-strawberries.html
del-monte-pineapple-chunks,$2.95,1 x 20 OZ (550 G),https://www.sxmleshalles.com/en/fruits-canned/2011-del-monte-pineapple-chunks.html
del-monte-slided-peaches,$2.95,1 x 20 OZ (567 G),https://www.sxmleshalles.com/en/fruits-canned/2012-del-monte-slided-peaches.html
del-monte-pineapple-slices,$2.95,1 x 20 OZ ( 567 G ),https://www.sxmleshalles.com/en/fruits-canned/2013-del-monte-pineapple-slices.html
del-monte-fruit-cocktail,$2.95,1 x 20 OZ (567 G),https://www.sxmleshalles.com/en/fruits-canned/2014-del-monte-fruit-cocktail.html
del-monte-pears,$2.95,1 x 20 OZ (567 G),https://www.sxmleshalles.com/en/fruits-canned/2015-del-monte-pears.html
rambutan-in-syrop,$4.50,1 x 565 G,https://www.sxmleshalles.com/en/fruits-canned/2016-rambutan-in-syrop.html
lychees-in-syrup,$3.20,1 x 565 G,https://www.sxmleshalles.com/en/fruits-canned/2017-lychees-in-syrup.html
apple-fuji,$1.80,one piece,https://www.sxmleshalles.com/en/fruits/2097-apple-fuji.html
cantaloupe-melon,$4.95,one piece Origin: USA,https://www.sxmleshalles.com/en/fruits/2100-cantaloupe-melon.html
planters-deluxe-mixed-nuts-10-oz,$12.90,1 x 10 oz,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/2566-planters-deluxe-mixed-nuts-10-oz.html
blue-diamond-almonds-honey-roasted-,$6.95,1 x 6 oz,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/2583-blue-diamond-almonds-honey-roasted-.html
blue-diamond-almonds-toasted-coconut,$6.95,1 x 6 oz,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/2584-blue-diamond-almonds-toasted-coconut.html
blue-diamond-almonds-smokehouse,$6.95,1 x 6 oz,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/2585-blue-diamond-almonds-smokehouse.html
blue-diamond-almonds-roasted-salted,$6.95,1 x 6 oz,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/2586-blue-diamond-almonds-roasted-salted.html
roasted-wasabi-coated-green-peas,$12.50,1 x 9.9 oz,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/2587-roasted-wasabi-coated-green-peas.html
planters-whole-cashews-honey-roasted-825-oz,$12.90,1 x 8.25 oz,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/2588-planters-whole-cashews-honey-roasted-825-oz.html
planters-nutrition-wholesome-nut-mix,$13.90,N/A,N/A
planters-nutrition-heart-healthy-mix,$11.00,N/A,N/A
blue-diamond-bold-sriracha,$6.95,1 x 6 oz,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/2982-blue-diamond-bold-sriracha.html
blue-diamond-bold-salt-n-vinegar,$6.95,1 x 6 oz,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/2983-blue-diamond-bold-salt-n-vinegar.html
blue-diamond-bold-wasabi-and-soy-sauce,$6.95,1 x 8 oz,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/2984-blue-diamond-bold-wasabi-and-soy-sauce.html
campoverde-tropical-mix-3-lb,$19.95,"1 x 3 LB Pineapple, Mangos, red grapes, Papaya.",https://www.sxmleshalles.com/en/fruits/3157-campoverde-tropical-mix-3-lb.html
campoverde-gourmet-mix-3-lb,$21.90,"1 x 3 LB Honeydew melon, Grapes, Strawberry, Peach, Pineapple.",https://www.sxmleshalles.com/en/fruits/3158-campoverde-gourmet-mix-3-lb.html
planters-dry-roasted-pistachios-1275-oz,$19.95,1 x 12.75 OZ,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/3645-planters-dry-roasted-pistachios-1275-oz.html
planters-honey-roasted-mixed-nuts-10-oz,$10.50,1 x 10 OZ,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/3649-planters-honey-roasted-mixed-nuts-10-oz.html
planters-pistachio-mix-145-oz,$24.90,1 x 14.5 OZ,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/3650-planters-pistachio-mix-145-oz.html
blue-diamond-all-natural,$6.95,1 x 6 OZ,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/3666-blue-diamond-all-natural.html
crunch-n-munch-caramel,$2.90,1 x 3.5 OZ,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/3704-crunch-n-munch-caramel.html
campoverde-forever-young-2-lb,$18.90,"1 x 2 LB Carrots, Blueberries, Bananas, Mandarins.",https://www.sxmleshalles.com/en/fruits/3819-campoverde-forever-young-2-lb.html
campoverde-quinoa-protein-strength-2-lb,$18.90,"1 x 2 LB Pineapple, Banana, Mango, Quinoa.",https://www.sxmleshalles.com/en/fruits/3820-campoverde-quinoa-protein-strength-2-lb.html
campoverde-acai-energizing-power-2-lb,$18.90,"1 x 2 LB Açai, Kale, Strawberry, Apple, Blueberry.",https://www.sxmleshalles.com/en/fruits/3821-campoverde-acai-energizing-power-2-lb.html
campoverde-fit-wellness-2-lb,$18.90,"1 x 2 LB Spinach, Apple, Mangos, Pineapples.",https://www.sxmleshalles.com/en/fruits/3822-campoverde-fit-wellness-2-lb.html
campoverde-4-berries-3-lb,$27.90,"1 x 3 LB Blueberries, Blackberries,Strawberries, Raspberries.",https://www.sxmleshalles.com/en/fruits/3823-campoverde-4-berries-3-lb.html
campoverde-acai-vitality-splash-2-lb,$18.90,"1 x 2 LB Pineaplle, Açai, Celery, Banana.",https://www.sxmleshalles.com/en/fruits/3824-campoverde-acai-vitality-splash-2-lb.html
planters-mixed-nuts-65-oz,$5.95,1 x 10.3 OZ can,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/1690-planters-mixed-nuts-unsalted-103-oz.html
planters-whole-cashew-almond-pecan-825-oz,$11.90,1 x 8.25 oz,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/3945-planters-whole-cashew-almond-pecan-825-oz.html
planters-classic-peanut-6-oz,$3.50,1 x 6 oz,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/3946-planters-classic-peanut-6-oz.html
planters-whole-cashews-lightly-salted-85-oz,$11.90,1 x 8.5 oz,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/3947-planters-whole-cashews-lightly-salted-85-oz.html
planters-mixed-nuts-salted-15-oz,$14.00,1 x 15 OZ can,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/4262-planters-mixed-nuts-salted-15-oz.html
planters-chipotle-peanuts-6-oz,$6.50,1 x 6 oz,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/4268-planters-chipotle-peanuts-6-oz.html
vitamins-,$29.00,Basket of seasonal fruits and veggies. - 3 Banana - 1 Pineapple - 1 Melon - 2 Lime - 2 Apple - 2 Orange - 3 Round Tomato - 1 English Cucumber,https://www.sxmleshalles.com/en/vitamins-basket/899-vitamins-.html
kendall-jackson-sauvignon-blanc,$28.90,1 x 75 CL California Wine Vinter's Reserve Grown Estate Kendall Jackson Vineyards,https://www.sxmleshalles.com/en/united-states/1188-kendall-jackson-sauvignon-blanc.html
clos-de-los-siete,$37.00,1 x 75 CL 2020/21 Valle de Uco by Michel Rolland Mendoza,https://www.sxmleshalles.com/en/argentina/1202-clos-de-los-siete.html
yellow-tail-pinot-grigio,$19.50,1 x 75 CL Yellow Tail Wines,https://www.sxmleshalles.com/en/australian-wines/1234-yellow-tail-pinot-grigio.html
yellow-tail-sauvignon-blanc,$18.60,1 x 75 CL Yellow Tail Winery,https://www.sxmleshalles.com/en/australian-wines/1236-yellow-tail-sauvignon-blanc.html
yellow-tail-cabernet-sauvignon,$18.60,1 x 75 CL Yellow Tail Winery,https://www.sxmleshalles.com/en/australian-wines/1237-yellow-tail-cabernet-sauvignon.html
yellow-tail-shiraz,$18.60,1 x 75 CL Yellow Tail Winery,https://www.sxmleshalles.com/en/australian-wines/1239-yellow-tail-shiraz.html
tequila-patron-silver-750-ml,$55.00,The perfect white spirit made from the finest Weber Blue Agave. Alcohol 40% by volume 1 X 750ML,https://www.sxmleshalles.com/en/tequilla/1359-tequila-patron-silver-750-ml.html
woodbridge-white-zinfandel,$14.90,1 X 75CL,https://www.sxmleshalles.com/en/us-rose-wines/1516-woodbridge-white-zinfandel.html
large-vitamin-basket,$39.00,Basket of seasonal fruits and vegetables - 4 Bananas - 1 Melon Guadeloupe - 1 Mango - 2 Apple - 1 Pineapple - 3 Lime - 3 orange - 1 LB Round Tomato - 2.5 LB Potatoes - 1 Onion - 1 English Cucumber,https://www.sxmleshalles.com/en/vitamins-basket/1768-large-vitamin-basket.html
patron-silver-tequila-magnum,$120.00,The perfect white spirit made from the finest Weber Blue Agave. Alcohol 40% by volume 1 x 1.75 L,https://www.sxmleshalles.com/en/tequilla/2470-patron-silver-tequila-magnum.html
