Name,Price,Description,URL
planters-mixed-nuts-unsalted-103-oz,$8.95,N/A,N/A
planters-deluxe-mixed-nuts-10-oz,$12.90,1 x 10 oz,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/2566-planters-deluxe-mixed-nuts-10-oz.html
planters-honey-roasted-mixed-nuts-10-oz,$10.50,1 x 10 OZ,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/3649-planters-honey-roasted-mixed-nuts-10-oz.html
planters-mixed-nuts-65-oz,$5.95,1 x 10.3 OZ can,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/1690-planters-mixed-nuts-unsalted-103-oz.html
planters-mixed-nuts-salted-15-oz,$14.00,1 x 15 OZ can,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/4262-planters-mixed-nuts-salted-15-oz.html
planters-honey-rosted-peanuts-12-oz,$5.90,1 x 12 OZ can,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/1686-planters-honey-rosted-peanuts-12-oz.html
planters-dry-roasted-peanuts-16-oz,$6.20,1 x 16 OZ can,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/1687-planters-dry-roasted-peanuts-16-oz.html
planters-cocktail-peanuts-12-oz,$5.60,1 x 12 OZ jar,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/1688-planters-cocktail-peanuts-12-oz.html
planters-cashwes-halves-pieces-8-oz,$7.50,1 x 8 OZ can,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/1689-planters-cashwes-halves-pieces-8-oz.html
pop-secret-microwave-popcorn-butter,$3.90,1 x 3 CT PKG,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/1696-pop-secret-microwave-popcorn-butter.html
blue-diamond-almonds-honey-roasted-,$6.95,1 x 6 oz,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/2583-blue-diamond-almonds-honey-roasted-.html
blue-diamond-almonds-toasted-coconut,$6.95,1 x 6 oz,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/2584-blue-diamond-almonds-toasted-coconut.html
blue-diamond-almonds-smokehouse,$6.95,1 x 6 oz,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/2585-blue-diamond-almonds-smokehouse.html
blue-diamond-almonds-roasted-salted,$6.95,1 x 6 oz,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/2586-blue-diamond-almonds-roasted-salted.html
roasted-wasabi-coated-green-peas,$12.50,1 x 9.9 oz,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/2587-roasted-wasabi-coated-green-peas.html
planters-whole-cashews-honey-roasted-825-oz,$12.90,1 x 8.25 oz,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/2588-planters-whole-cashews-honey-roasted-825-oz.html
planters-nutrition-wholesome-nut-mix,$13.90,N/A,N/A
planters-nutrition-heart-healthy-mix,$11.00,N/A,N/A
blue-diamond-bold-sriracha,$6.95,1 x 6 oz,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/2982-blue-diamond-bold-sriracha.html
blue-diamond-bold-salt-n-vinegar,$6.95,1 x 6 oz,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/2983-blue-diamond-bold-salt-n-vinegar.html
blue-diamond-bold-wasabi-and-soy-sauce,$6.95,1 x 8 oz,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/2984-blue-diamond-bold-wasabi-and-soy-sauce.html
planters-dry-roasted-pistachios-1275-oz,$19.95,1 x 12.75 OZ,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/3645-planters-dry-roasted-pistachios-1275-oz.html
planters-pistachio-mix-145-oz,$24.90,1 x 14.5 OZ,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/3650-planters-pistachio-mix-145-oz.html
blue-diamond-all-natural,$6.95,1 x 6 OZ,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/3666-blue-diamond-all-natural.html
crunch-n-munch-caramel,$2.90,1 x 3.5 OZ,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/3704-crunch-n-munch-caramel.html
planters-whole-cashew-almond-pecan-825-oz,$11.90,1 x 8.25 oz,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/3945-planters-whole-cashew-almond-pecan-825-oz.html
planters-classic-peanut-6-oz,$3.50,1 x 6 oz,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/3946-planters-classic-peanut-6-oz.html
planters-whole-cashews-lightly-salted-85-oz,$11.90,1 x 8.5 oz,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/3947-planters-whole-cashews-lightly-salted-85-oz.html
planters-chipotle-peanuts-6-oz,$6.50,1 x 6 oz,https://www.sxmleshalles.com/en/nuts-and-dry-fruits/4268-planters-chipotle-peanuts-6-oz.html
roasted-pine-nut-hummus,$6.95,"Cooked Chickpeas, Tahini (Ground Sesame), NonGMO Soybean Oil, Water, Garlic, Salt, NonGMO Citric Acid, Red Bell Pepper, Pine Nuts, Potassium Sorbate Added to Maintain Freshness, Spices. CONTAINS: PINE NUTS Net weight: 10 Oz",https://www.sxmleshalles.com/en/deli-fresh/2794-roasted-pine-nut-hummus.html
rondele-ail-fines-herbes-125-gr,$5.30,N/A,N/A
yellow-tail-chardonnay,$18.20,Bottle of 75 CL Yellow Tail Winery,https://www.sxmleshalles.com/en/australian-wines/1235-yellow-tail-chardonnay.html
tortelloni-ricotta-and-spinach,$5.60,250 Gr,https://www.sxmleshalles.com/en/fresh-pasta/2873-tortelloni-ricotta-and-spinach.html
