Name,Price,Description,URL
cutlets-fillet,$7.00,N/A,N/A
pork-ribs,$12.50,1 x 1 KG approx.,https://www.sxmleshalles.com/en/pork/1793-pork-ribs.html
bacon-center-cut-original,$13.90,12 Oz,https://www.sxmleshalles.com/en/pork/2864-bacon-center-cut-original.html
filet-mignon,$16.00,1 x 1 KG approx.,https://www.sxmleshalles.com/en/pork/471-filet-mignon.html
regular-bacon,$7.80,1 x 8 OZ,https://www.sxmleshalles.com/en/pork/1730-regular-bacon.html
bacon-thick-cut,$13.90,1 x 16 OZ,https://www.sxmleshalles.com/en/pork/1731-bacon-thick-cut.html
chorizo-hot,$5.60,1 x 225 GR,https://www.sxmleshalles.com/en/pork/1732-chorizo-hot.html
superior-french-ham-200-g,$7.80,1 x 200G,https://www.sxmleshalles.com/en/pork/1794-superior-french-ham-200-g.html
regular-bacon-16-oz,$13.50,1 x 8 OZ,https://www.sxmleshalles.com/en/pork/1730-regular-bacon.html
jones-canadian-bacon,$7.40,6 OZ HICKORY SMOKED,https://www.sxmleshalles.com/en/pork/3406-jones-canadian-bacon.html
chorizo-hot,$5.60,1 x 225 GR,https://www.sxmleshalles.com/en/pork/1732-chorizo-hot.html
de-cecco-penne-rigate,$5.20,Net weight: 500 G,https://www.sxmleshalles.com/en/pasta-and-rice/870-de-cecco-penne-rigate-8001250120410.html
grgich-hills-chardonnay,$79.00,1 x 75 CL California Wine Napa Valley Biodynamic wine. 2021/22 Grgich Hills Estate,https://www.sxmleshalles.com/en/united-states/1181-grgich-hills-chardonnay.html
yellow-tail-chardonnay,$18.20,Bottle of 75 CL Yellow Tail Winery,https://www.sxmleshalles.com/en/australian-wines/1235-yellow-tail-chardonnay.html
tortelloni-meat,$8.20,"Ingredients: Paste 76%: semolina of durum wheat, water, eggs 3.5%, cooking salt, rapeseed oil. Fat 24%: meat 44% (beef 26%, pork 18%), wheat flour, water, concentrated tomato puree 6%, cooking salt, dried tomatoes 3%, natural flavor, carrots 2% (Onions, rapeseed oil), aromatic plants, spices. Percentages refer to dough or stuffing. To farm-raised eggs. May contain traces of soy. 250 Gr",https://www.sxmleshalles.com/en/fresh-pasta/2874-tortelloni-meat.html
