Name,Price,Description,URL
fresh-frozen-mixed-vegetables,$4.90,1 x 2 LB (907G ),https://www.sxmleshalles.com/en/vegetables/1860-fresh-frozen-mixed-vegetables.html
dill,$5.90,One Bunch,https://www.sxmleshalles.com/en/vegetables/860-dill.html
basil,$5.90,1 x 400 G,https://www.sxmleshalles.com/en/pasta-sauces/369-barilla-basil-sauce-400-gm.html
cauliflower,$5.90,Origin : USA One piece,https://www.sxmleshalles.com/en/vegetables/793-cauliflower.html
lettuce-red-leaf,$4.95,Origin : USA One piece,https://www.sxmleshalles.com/en/vegetables/794-lettuce-red-leaf.html
lettuce-green-leaf,$4.95,Origin : USA One piece,https://www.sxmleshalles.com/en/vegetables/795-lettuce-green-leaf.html
salad-aragula,$6.00,1 x 150G,https://www.sxmleshalles.com/en/vegetables/797-salad-aragula.html
mushrooms,$5.60,Origin : USA 8 OZ PKG,https://www.sxmleshalles.com/en/vegetables/799-mushrooms.html
carrots-2-lb,$2.90,1 x 2 LB Bag,https://www.sxmleshalles.com/en/vegetables/800-carrots-2-lb.html
parsley,$1.00,One Bunch,https://www.sxmleshalles.com/en/vegetables/802-parsley.html
sweet-potatoes,$2.90,Origin : USA Two Pieces,https://www.sxmleshalles.com/en/vegetables/806-sweet-potatoes.html
round-tomatoes,$3.70,Origin : Dominican Republic / Guadeloupe 1 x 1 LB,https://www.sxmleshalles.com/en/vegetables/807-round-tomatoes.html
squash-zucchini,$5.50,Origin : USA 1 x 2 LB,https://www.sxmleshalles.com/en/vegetables/808-squash-zucchini.html
red-pepper,$2.45,"Cooked Chickpeas, Tahini (Ground Sesame), NonGMO Soybean Oil, Red Bell Pepper, Water, Garlic, Salt, NonGMO Citric Acid, Potassium Sorbate Added To Maintain Freshness, Natural Flavors Net weight: 10 Oz",https://www.sxmleshalles.com/en/deli-fresh/2792-roasted-red-pepper-hummus.html
green-pepper,$1.95,Origin : USA One Piece,https://www.sxmleshalles.com/en/vegetables/810-green-pepper.html
round-turnip,$1.50,One Piece,https://www.sxmleshalles.com/en/vegetables/811-round-turnip.html
english-cucumber,$4.50,Origin : USA One Piece,https://www.sxmleshalles.com/en/vegetables/812-english-cucumber.html
eggplant,$1.80,Origin : USA One Piece,https://www.sxmleshalles.com/en/vegetables/814-eggplant.html
leeks,$3.20,Bunch of 3/4 leeks Origin : USA,https://www.sxmleshalles.com/en/vegetables/816-leeks.html
chicories,$2.50,Origin: France One Piece,https://www.sxmleshalles.com/en/vegetables/818-chicories.html
avocado-king-size,$3.90,Origin : Dominican Republic One piece,https://www.sxmleshalles.com/en/vegetables/831-avocado-king-size.html
onions,$1.50,Origin: USA 1 piece,https://www.sxmleshalles.com/en/vegetables/835-onions.html
shallots-250g,$3.90,Origin : France 1 x 250G,https://www.sxmleshalles.com/en/vegetables/836-shallots-250g.html
garlic-x-3,$1.90,"Cooked Chickpeas, Tahini (Ground Sesame), NonGMO Soybean Oil, Water, Garlic, Salt, NonGMO Citric Acid, Red Bell Pepper, Potassium Sorbate Added To Maintain Freshness, Spices. Net weight: 10 Oz",https://www.sxmleshalles.com/en/deli-fresh/2795-roasted-garlic-hummus.html
vacuum-beetroot,$4.00,Origin : France 500 G,https://www.sxmleshalles.com/en/vegetables/838-vacuum-beetroot.html
potatoes-fingerling,$5.30,Origin : USA 1 x 2 LB,https://www.sxmleshalles.com/en/vegetables/844-potatoes-fingerling.html
mint,$5.90,1 X 1L Special Barman Quality,https://www.sxmleshalles.com/en/mixers/608-green-mint-syrup.html
thyme,$5.90,One Bunch,https://www.sxmleshalles.com/en/vegetables/863-thyme.html
red-onion,$1.90,One Piece,https://www.sxmleshalles.com/en/vegetables/1335-red-onion.html
green-onion,$2.00,Origin : USA One Bunch,https://www.sxmleshalles.com/en/vegetables/1336-green-onion.html
tomato-on-vine,$7.90,Sold by vine (avg. 500 G),https://www.sxmleshalles.com/en/vegetables/1338-tomato-on-vine.html
