Name,Price,Description,URL
Apples Fuji Apples,$2.50,,https://www.shopndropgrocerysxm.com/Apples-Fuji-Apples_p_1654.html
Apples Golden Delicious,$2.76,,https://www.shopndropgrocerysxm.com/Apples-Golden-Delicious_p_1655.html
Apples Granny Smith,$2.50,,https://www.shopndropgrocerysxm.com/Apples-Granny-Smith_p_1656.html
Apples Granny smith 5 apples,$10.50,,https://www.shopndropgrocerysxm.com/Apples-Granny-smith-5-apples_p_1657.html
Apples Red Delicious,$2.73,,https://www.shopndropgrocerysxm.com/Apples-Red-Delicious-_p_1658.html
Apples Royal Gala,$2.50,,https://www.shopndropgrocerysxm.com/Apples-Royal-Gala_p_1659.html
Apples Golden Delicious 5 apples,$11.50,,https://www.shopndropgrocerysxm.com/Apples-Golden-Delicious-5-apples_p_4551.html
Apples Red Delicious 5 apples,$11.50,,https://www.shopndropgrocerysxm.com/Apples-Red-Delicious-5-apples_p_4552.html
Apples Royal Gala 5 apples,$10.50,,https://www.shopndropgrocerysxm.com/Apples-Royal-Gala-5-apples_p_4553.html
Apple fuji - 5 apples,$11.81,,https://www.shopndropgrocerysxm.com/apple-fuji--5-apples.html
