Name,Price,Description,URL
IPA Beer Lagunitas - 6 pack Bottles,$25.99,,https://www.shopndropgrocerysxm.com/IPA-Beer-Lagunitas--6-pack-Bottles_p_3615.html
High Noon Vodka Seltzer Can  Variety Pack 24 cans,$69.44,,https://www.shopndropgrocerysxm.com/high-noon-vodka-seltzer-can.html
High Noon Tequila Seltzer Variety 24 Cans,$68.40,,https://www.shopndropgrocerysxm.com/high-noon-tequila-seltzer-variety-24-cans.html
Seagram Escape Variety pack  -24 cans,$38.85,,https://www.shopndropgrocerysxm.com/seagram-escape-variety-pack-24-cans.html
Seagram Escape Variety pack  -24 Bottles,$38.85,,https://www.shopndropgrocerysxm.com/seagram-escape-variety-pack-24-bottles.html
Heineken-Zero bottles case- 12 pack 25 CL,$20.45,,https://www.shopndropgrocerysxm.com/heineken-zero-bottles-case-12-pack-25-cl.html
High Noon Vodka Seltzer Can  Variety Pack 8 cans,$24.24,,https://www.shopndropgrocerysxm.com/high-noon-vodka-seltzer-can-variety-pack-8-cans.html
High Noon Tequila Seltzer Variety 8 Cans,$24.24,,https://www.shopndropgrocerysxm.com/high-noon-tequila-seltzer-variety-8-cans.html
SXM Beer  24 bottles Premium Larger,$47.25,,https://www.shopndropgrocerysxm.com/SXM-Beer-24-bottles-Premium-Larger_p_4327.html
Carib lager Bottles  24x 12oz/355ml,$36.54,12oz,https://www.shopndropgrocerysxm.com/Carib-lager-Bottles-24x-12oz355ml_p_9.html
Carib Bottles - 12 pack bottles,$18.46,,https://www.shopndropgrocerysxm.com/Carib-Bottles--12-pack-bottles_p_3422.html
Carib - cans  24 cans,$34.07,,https://www.shopndropgrocerysxm.com/Carib--cans-24-cans_p_3429.html
Heineken  cans,$31.50,,https://www.shopndropgrocerysxm.com/Heineken-cans_p_3616.html
Heineken bottles - Case of 24  25 CL,$34.60,,https://www.shopndropgrocerysxm.com/Heineken-bottles--Case-of-24-25-CL_p_22.html
Heineken-Zero bottles case- 24 pack  25 CL,$37.95,,https://www.shopndropgrocerysxm.com/Heineken-Zero-bottles-case-24-pack-25-CL_p_23.html
Corona- bottles- 6 pack,$11.53,,https://www.shopndropgrocerysxm.com/Corona-bottles-6-pack-_p_15.html
Corona Bottles  24x 12oz/355ml,$39.40,12oz,https://www.shopndropgrocerysxm.com/Corona-Bottles-24x-12oz355ml_p_12.html
Corona cans case of  24-12 oz,$35.67,12 oz,https://www.shopndropgrocerysxm.com/Corona-cans-case-of-24-12-oz_p_3640.html
Corona Bottles- 12 pack,$20.77,,https://www.shopndropgrocerysxm.com/Corona-Bottles-12-pack-_p_3430.html
Budweiser  24 bottles,$35.66,,https://www.shopndropgrocerysxm.com/Budweiser-24-bottles-_p_2547.html
Bud Light  24  Bottles,$35.51,,https://www.shopndropgrocerysxm.com/Bud-Light-24-Bottles_p_2549.html
Bud Light Cans  24 Cans,$34.17,,https://www.shopndropgrocerysxm.com/Bud-Light-Cans-24-Cans_p_2543.html
Bud Light Cans  12 pack,$18.46,,https://www.shopndropgrocerysxm.com/Bud-Light-Cans-12-pack_p_3003.html
Coors Light - Bottles 12 pack,$18.47,,https://www.shopndropgrocerysxm.com/Coors-Light--Bottles-12-pack-_p_3427.html
Coors Light - Bottles 6 pack,$10.38,,https://www.shopndropgrocerysxm.com/Coors-Light--Bottles-6-pack-_p_3428.html
Coors Light Bottles  24x 12oz/355ml,$37.68,12oz,https://www.shopndropgrocerysxm.com/Coors-Light-Bottles-24x-12oz355ml_p_10.html
Coors Light cans  24 Cans 10 oz,$25.67,10 oz,https://www.shopndropgrocerysxm.com/Coors-Light-cans-24-Cans-10-oz_p_11.html
President-24 cans,$35.17,,https://www.shopndropgrocerysxm.com/President-24-cans-_p_3641.html
Presidente Lite  24 bottles/330cl,$38.09,,https://www.shopndropgrocerysxm.com/Presidente-Lite-24-bottles330cl_p_30.html
White Claw  Hard Seltzer Mango - 6 pack 335 Ml,$17.84,335 Ml,https://www.shopndropgrocerysxm.com/White-Claw-Hard-Seltzer-Mango--6-pack-335-Ml_p_29.html
Presidente- Bottles 12 pack,$20.77,,https://www.shopndropgrocerysxm.com/Presidente-Bottles-12-pack-_p_31.html
White Claw  Hard Seltzer Lime 6 pack,$17.84,,https://www.shopndropgrocerysxm.com/White-Claw-Hard-Seltzer-Lime-6-pack_p_3672.html
SXM Beer 12 pack,$31.16,,https://www.shopndropgrocerysxm.com/SXM-Beer-12-pack_p_3674.html
White Claw  Hard Seltzer Variety Pack - - 12 pack 335 Ml,$32.37,335 Ml,https://www.shopndropgrocerysxm.com/White-Claw-Hard-Seltzer-Variety-Pack---12-pack-335-Ml_p_20.html
Michelob Ultra Beer  24 bottles ( case),$39.41,,https://www.shopndropgrocerysxm.com/Michelob-Ultra-Beer-24-bottles-case_p_2898.html
Blue moon beer 24 bottles,$58.91,,https://www.shopndropgrocerysxm.com/blue-moon-beer-24-bottles.html
bière 1664 millésime 6 Pack25cl,$12.94,,https://www.shopndropgrocerysxm.com/bire-1664-millsime-625cl.html
bière 1664  6 Pack 33cl,$12.94,,https://www.shopndropgrocerysxm.com/bière-1664-6-Pack-33cl-_p_3885.html
White Claw Hard Seltzer Black cherry - 6 pack,$17.84,,https://www.shopndropgrocerysxm.com/White-Claw-Hard-Seltzer-Black-cherry--6-pack-_p_27.html
Miller lite- 24 bottles  24x 12oz/355ml,$37.28,12oz,https://www.shopndropgrocerysxm.com/Miller-lite-24-bottles-24x-12oz355ml_p_28.html
Guinness Draught Beer - 24 bottles,$49.65,,https://www.shopndropgrocerysxm.com/Guinness-Draught-Beer--24-bottles-_p_17.html
HOEGAAEDEN -24 bottles 11.16 oz,$51.98,11.16 oz,https://www.shopndropgrocerysxm.com/HOEGAAEDEN-24-bottles-1116-oz_p_3639.html
LEFFE BLONDE-  24 bottles  11.16 oz,$45.05,11.16 oz,https://www.shopndropgrocerysxm.com/LEFFE-BLONDE-24-bottles-1116-oz_p_2540.html
STELLA ARTOIS -   24 bottles 25CL,$51.98,,https://www.shopndropgrocerysxm.com/STELLA-ARTOIS--24-bottles-25CL_p_34.html
Amstel Bright  24 bottles,$34.17,,https://www.shopndropgrocerysxm.com/Amstel-Bright-24-bottles-_p_2544.html
DELIRIUM TREMENS  24 bottles,$138.60,,https://www.shopndropgrocerysxm.com/DELIRIUM-TREMENS-24-bottles-_p_2550.html
IPA Beer- Honor- 12 pack cans,$69.30,,https://www.shopndropgrocerysxm.com/IPA-Beer-Honor-12-pack-cans_p_3617.html
